#DATASET,,,,,
Individual,Left calyx,Right calyx,Left AL,Right AL,Group
1,533402.1716,520996.5481,1178370.423,838990.9858,Olfactory
2,477244.2007,465052.2898,1182025.928,813772.9987,Olfactory
3,307047.992,329187.319,909087,574221,Olfactory
4,408148.1163,504094.36,1130643.84,720589.553,Olfactory
5,574174.5459,520636.3043,1079120.346,882629.6084,Olfactory
6,523371.0074,478583.4441,912985.8701,862038.0296,Olfactory
7,587873.8241,557565.7316,1149121.68,913346.4035,Olfactory
8,636541.3275,658811.2208,1201180.204,927391.6044,Olfactory
9,367407.153,396661.143,804494.5953,570624.7481,Olfactory
10,583374.7314,731478.128,1072460.811,763826.5463,Olfactory
11,481851.0678,485208.4105,830863.0452,350921.5953,Olfactory
12,734692.7555,706806.8185,1078720.423,764770.9615,Olfactory
13,582350.7843,589451.5301,1278568.578,967466.287,Olfactory
14,593084.6697,614835.4783,1298955.206,792312.821,Olfactory
15,296058.4393,265493.8151,1399274.434,1014962.325,Olfactory
16,495189.8128,513388.0472,888976.2932,882033.9079,Olfactory
17,510113.2504,513372.4907,1551184.177,1058816.415,Olfactory
18,362827.0418,414528.146,1281198.548,1255544.142,Control
19,610917.3725,708753.73,1213198.162,1174099.866,Control
20,573936.8754,556125.9778,1119358.551,1067965.704,Control
21,417798.3693,371487.9826,1510248.072,1532445.204,Control
22,506303.0551,440896.0315,1418143.412,1039182.392,Control
23,482877.9477,538791.7891,1409907.461,1250519.846,Control
24,543285.798,530489.4385,1320595.821,1392110.404,Control
25,662361.6674,678562.3972,1082295,1120087.513,Control
26,524648.5702,499899.3702,1645042.786,1623747.443,Control
27,568154.9781,598390.3449,1749149.007,1690560.89,Control
28,411568.4403,616388.6672,1443857.969,1590192.166,Control
29,487882.6876,465030.3755,1580246.023,1525184.988,Control
30,183840.3793,186005.0727,774643.1194,849931.7076,NewlyEclosed
31,413897.3162,472457.6965,1067923.301,1017513.671,NewlyEclosed
32,476700.5087,392688.1708,1105882.853,1077603.506,NewlyEclosed
33,349267.541,387698.5731,993352.6704,839666.2286,NewlyEclosed
34,330883.4744,349825.1567,1000775.424,1012598.26,NewlyEclosed
35,449236.5725,443129.7214,957300.0895,925350.4845,NewlyEclosed
36,466186.6662,431600.6018,1089247.248,1033623.419,NewlyEclosed
37,360681.7995,325878.7918,922155.7678,980609.8999,NewlyEclosed
38,360313.8077,423796.5128,972339.8203,998076.4315,NewlyEclosed
39,244806.8321,272494.5706,721730.4981,808859.4078,NewlyEclosed
40,237618,200653,505925,500296,NewlyEclosed
41,366886.2081,382314.818,787944.8991,841298.728,NewlyEclosed